,,,,,,,,
,,Overdrive Bill of Materials,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Category,Part Name,Bought?,Part Link,Units,Unit Cost,Cost
,,Control Boards,Arduino Nano V3 (ATmega328P),Bought Already,https://www.amazon.com/Arduino-A000005-ARDUINO-Nano/dp/B0097AU5OU/ref=sr_1_6?crid=3UGHXN7JMDHFD&dib=eyJ2IjoiMSJ9.lGGUnkwyBAbnKti6S6SwYKSQRut7fCFLdJD1zBP3o-8j__LzbrXXIPxJtrGeuzfuuKqHvzhMgJdsEychcjhOS0BsmBVbp_4IggzGZLmPaBxR0xcDL7dlvA9Ng4FzdUIRh2g1R5lrPalwvprGrD2WJuLkhn__hZ82ebjvknAjKwh2K2p_HJPJ7IHoa5vunKFQT4vP5SG7AVMNkOBeYMs4bX6_F3zqiIyjqdQZOTmwy2c.jd2zOjs58tPZ2O1sql0BnUxmm9-2oBacZffakWgmTQo&dib_tag=se&keywords=arduino+nano&qid=1761595528&sprefix=arduino+nano%2Caps%2C159&sr=8-6,1, $ 25.00 , $ 25.00 
,,Sensors/devices,MPU-6050 Gyroscope Accelerometer Module,Bought Already,http://amazon.com/HiLetgo-MPU-6050-Accelerometer-Gyroscope-Converter/dp/B01DK83ZYQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.17CgYbfJeLaKBTknvMMfsxPPQVLmfP4RI9hGN7HD_fi7J3VQzgjUTgghFuXdxplvcYuGCb5gIyO9P0pFnVyHerk_ai7k2wtlEQvJQZXwq2BzOvPEggPqI2GQH5D3vmhOIqlfCsr2zLtsWWft4OeGK_CeRsSOu7WEgZesnHNaPSJ0jr45TiTXt85AB34Q_HpHQ-RFMgwNK0JojOB9S3bThL0nxdZpiIWbsUyHY8jGg18._uSEmocByBL4_tIE-b3kG6gLKeNOjPZJv7WnabBOBU0&dib_tag=se&keywords=mpu6050&qid=1761614660&sr=8-4,1, $ 6.99 , $ 6.99 
,,Sensors/devices,VL6180X Time-of-Flight Sensor,Bought Already,https://www.amazon.com/VL6180X-TOF050C-Ranging-Modules-Distance/dp/B0F4XBZ998?crid=XYQSMHTSPIRM&dib=eyJ2IjoiMSJ9.zLn9XQg8ko5KSx59x5Bpmjdc-QKpAOcKn9-w8dP1UT9jB7y47emsy_IuZVqkM-klCmC-Aj_RMPR_rA3czrHRkaeVH5pGuhFaXUgPxzCUGDwO3tuE0K4geNjtpXn4IajOYfCjv1CyCfOzWu__nZsZo_-BQv2uR5gNHHL4Gf3pRFFGn5w0sss63YnNVUANThCvx5CFKie75nlxhorzCFhQnOy5OTRXqYbAUdPJc9Rm_9zNe9uN0W5wXFEKrDUX9QQRZ_b3qFePx7FFUGVXm3DInv9E2a77gXCR0B2DxwBntqk.4pMiuUYK6p8Y1aWNEjc8B910JqMq5hVy8-T4e3OqqPQ&dib_tag=se&keywords=VL6180X&qid=1754161326&sprefix=vl53l0x%2Caps%2C395&sr=8-6,2, $ 4.50 , $ 9.00 
,,Sensors/devices,VL53L4CD Time-of-Flight Sensor,Bought Already,https://www.adafruit.com/product/5396,5, $ 15.00 , $ 75.00 
,,Sensors/devices,5V Relay Module (Single Channel),Bought Already,https://www.amazon.com/dp/B00LW15A4W?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_7&th=1,1,4, $ 4.00 
,,Sensors/devices,OLED Display Screen,Bought Already,https://www.amazon.com/Dorhea-Display-3-3V-5V-Arduino-Raspberry/dp/B07FK8GB8T/ref=sr_1_3?crid=2XOZQLQCWR19&dib=eyJ2IjoiMSJ9.gmjYYgZs428_vTrOMwdxYSK-ALIioWA287Dy29JHnzCqsYO3Jn2qcbK_xrkjgMJHNt9gM4nXidDz2qyuvImYKFcujmmYJ69WmRl1FVGiA22xkHAJoD6cklwX-RKAoAVIxx5fkoL4xCT2vXq3MKSJVqPriC8fK3Cwimtb_w2G0uT191Tu6Aoc9qIZ34N8QfJaAzyBidc-lNxQgp3fo1iJinc7AO1BE4y5l5XSUq1jjrtokgzyBJp3N_yBBoy56BP6YPkzFea6R0M9aFZ72E9CVqXlj7OWfmV5CwQ4ObUBkPU._ynAxlAylfKVpWsS6qInIAPab1VJagOGECU0_OJ53bY&dib_tag=se&keywords=OLED+display+screen&qid=1761595105&s=industrial&sprefix=oled+display+scree%2Cindustrial%2C136&sr=1-3,1, $ 6.00 , $ 6.00 
,,Sensors/devices,USB Camera 1,Bought Already,https://www.amazon.com/ELP-Embedded-100degree-Distortion-Raspberry/dp/B0BHWHMPKH/ref=sr_1_9?crid=2BH4K6E4KN6KY&dib=eyJ2IjoiMSJ9.9FmZjp5PISg3BqTNKQSAfKnNtqavnhcifD0zRqvrlzWqjxWOquN-KMeXEXgwYHuf6c4sAah4yYthRrNNEImFQPHz1edeVvp_91IfnHACG6EN6TskFv2AWJ7XPaQZh0peZfEW86HQEePWAh4JGsps2SIpp6agvmwo-DJpPB5o1UrA7H7htziLZqa1mc-x4fGZQKKMpz8T2K5O-h7tF97aRe3rUdZKbhuOaFbfXP71QyJfNKfSTq9X1pr3hergiqg5kFWCanViRE-BgdX8n4cz9d33KCTtdf23RC3I_Y5ajAM.TGqOJ8LhrOAt668YLrkew7hg_eYKRdfIRVO4EwVdczM&dib_tag=se&keywords=usb+camera+60fps&qid=1755141181&s=electronics&sprefix=usb+camera+60fp%2Celectronics%2C145&sr=1-9,1, $ 69.99 , $ 69.99 
,,Sensors/devices,USB Camera 2,Bought Already,https://www.amazon.com/ELP-Raspberry-118degree-Distortion-Industrial/dp/B0C289GYVZ/ref=sr_1_16?crid=193RY57F7X2IR&dib=eyJ2IjoiMSJ9.inJBKkGeN9qOrzJgb6M9Cp_vlaZac7NskM81M5a_wFGAXk03eNVxWq-SpU4SP24qxUoNT5GwLKe_dyuiybuT5ZdCubgefjDEL-vQ7o3zxzGWQs0CphyFYEYnVhQH542ui0zLsNAy8T0vLZM266Q5W2tOG_O5SkzSklsvWoq57DxdvTUS1xu5krL9PsGhTTMtPVUTVZGi3VUr6h1dS6TCZdb8zpDXB21aSRac8u-BTyOVjMR77bTUc7BaWoGFqha6o32TYoRQRPc5ml7xmFIl3Q7ap6dp2ztmxmDAvJ0o3Fo.L3ikXBz4nFR1b33Yz79cRHyXvX3WnOL6PLhVhbWMG5w&dib_tag=se&keywords=high%2Bquality%2Bwide%2Bangle%2Busb%2Bcamera&qid=1755143200&s=electronics&sprefix=high%2Bquality%2Bwide%2Bangle%2Busb%2Bcamera%2Celectronics%2C90&sr=1-16&th=1,1, $ 74.99 , $ 74.99 
,,Cables,HDMI Extension Cable (Male to Male),Bought Already,https://www.amazon.com/dp/B0DB168WTN?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_1&th=1,1, $ 15.00 , $ 15.00 
,,Cables,USB Extension Cable (Type-A Male to Female),Bought Already,https://www.amazon.com/dp/B0C653NV2Q?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_3&th=1,2, $ 4.00 , $ 8.00 
,,Cables,Arduino Nano Blue Cable,Bought Already,https://www.amazon.com/DIYables-Mini-Cable-Arduino-Pieces/dp/B0C7BMS5FG/ref=sr_1_2?crid=37VGKR0QC6INL&dib=eyJ2IjoiMSJ9.v1tzJDSy1bp48ogqVHIitl-V79n4CyZZ3LOifvzNvyoN53LhvwLe8PqXbF5MSHHrex4coi_G_GvN3IyHiy8TLlc50ZGbAUFsyX_yH3IsEnyLgoRVloPGn81UcZzGcfdV1KyFQt_VeQb3OrBWvcllTxIQTuhQkMB0vBT0sLpxw-t3a1SOrS58n0ed81-82CHDKdNOZRumBtvznb_iIrMMIrpS0BSi3ZpR0FMXb4nFD-MDAzNMNXtprAQXrU8IOhxE9yUtAWJG-SZVFjwo6Oz0ip2ifQbeXPkK6O9ADGVM7tE.EjReWGOaMPEAnR-BP_jD4xO-kbwx-yYT520nlUvEfBM&dib_tag=se&keywords=arduino%2Bnano%2Bcable&qid=1761595338&s=industrial&sprefix=arduuino%2Bnano%2Bcabl%2Cindustrial%2C132&sr=1-2&th=1,1, $ 4.00 , $ 4.00 
,,Cables,NVDIA Jetson Orin Nano Cable,Bought Already,https://www.amazon.com/GINTOOYUN-Extension-Adapter-Cable%EF%BC%8C3FT-Monitors/dp/B0B6HT38QD/ref=pd_rhf_se_s_pd_sbs_rvi_d_sccl_2_3/130-2715981-6500301?pd_rd_w=m4zHR&content-id=amzn1.sym.6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_p=6640a844-ab24-4352-ac9b-78899e683a5e&pf_rd_r=TWDSD8CQ80DWP7R5GBNP&pd_rd_wg=K9Yf1&pd_rd_r=79dcc2d2-e879-479c-bc0b-f50622ba9f4a&pd_rd_i=B0B6HT38QD&psc=1,1,9.99, $ 9.99 
,,Other,"Wires, chargers, 3D prints, screws, heatshrink, mechanical parts, etc",Bought Already,N/A,N/A, N/A , $ 268.00 
,,Total,,,,,," $ 1,237.45 "
